agent,role,time_sec,cumulative_pnl
MM_1,MarketMaker,23.503,-1320.0
MM_1,MarketMaker,23.545,-1319.5
MM_1,MarketMaker,23.552,-1319.0
MM_1,MarketMaker,23.605,-1318.5
MM_1,MarketMaker,23.62,-1319.0
MM_1,MarketMaker,23.624,-1318.5
MM_1,MarketMaker,23.624,-1319.0
MM_1,MarketMaker,23.624,-1319.5
MM_1,MarketMaker,23.624,-1321.0
MM_1,MarketMaker,23.624,-1322.5
MM_1,MarketMaker,23.624,-1324.0
MM_1,MarketMaker,23.624,-1325.5
MM_1,MarketMaker,23.624,-1327.0
MM_1,MarketMaker,23.625,-1328.5
MM_1,MarketMaker,23.625,-1330.0
MM_1,MarketMaker,23.625,-1331.5
MM_1,MarketMaker,23.625,-1333.0
MM_1,MarketMaker,23.625,-1334.5
MM_1,MarketMaker,23.625,-1336.0
MM_1,MarketMaker,23.625,-1337.5
MM_1,MarketMaker,23.625,-1339.0
MM_1,MarketMaker,23.625,-1340.5
MM_1,MarketMaker,23.625,-1342.0
MM_1,MarketMaker,23.625,-1343.5
MM_1,MarketMaker,23.625,-1345.0
MM_1,MarketMaker,23.625,-1346.5
MM_1,MarketMaker,23.625,-1348.0
MM_1,MarketMaker,23.625,-1349.5
MM_1,MarketMaker,23.625,-2057.5
MM_1,MarketMaker,23.625,-2059.0
MM_1,MarketMaker,23.625,-2060.5
MM_1,MarketMaker,23.625,-2062.0
MM_1,MarketMaker,23.625,-2063.5
MM_1,MarketMaker,23.625,-2065.0
MM_1,MarketMaker,24.911,-2064.5
MM_1,MarketMaker,24.911,-2064.0
MM_1,MarketMaker,24.93,-2063.0
MM_1,MarketMaker,24.93,-2062.5
MM_1,MarketMaker,25.273,-2296.5
MM_1,MarketMaker,25.276,-2297.0
MM_1,MarketMaker,25.276,-2297.5
MM_1,MarketMaker,25.276,-2298.0
MM_1,MarketMaker,25.276,-2299.5
MM_1,MarketMaker,25.276,-2301.0
MM_1,MarketMaker,25.276,-2302.5
MM_1,MarketMaker,25.276,-2304.0
MM_1,MarketMaker,25.276,-2305.5
MM_1,MarketMaker,25.276,-2307.0
MM_1,MarketMaker,25.276,-2308.5
MM_1,MarketMaker,25.276,-2310.0
MM_1,MarketMaker,25.276,-2311.5
MM_1,MarketMaker,25.276,-2313.0
MM_1,MarketMaker,25.276,-2314.5
MM_1,MarketMaker,25.276,-2316.0
MM_1,MarketMaker,25.276,-2317.5
MM_1,MarketMaker,25.276,-2319.0
MM_1,MarketMaker,25.276,-2321.5
MM_1,MarketMaker,25.276,-2324.0
MM_1,MarketMaker,25.276,-2326.5
MM_1,MarketMaker,25.276,-2329.0
MM_1,MarketMaker,25.276,-2331.5
MM_1,MarketMaker,25.276,-2334.0
MM_1,MarketMaker,25.276,-2336.5
MM_1,MarketMaker,25.277,-2339.0
MM_1,MarketMaker,25.277,-2356.5
MM_1,MarketMaker,25.277,-2339.0
MM_1,MarketMaker,25.518,-2337.5
MM_1,MarketMaker,25.529,-2337.0
MM_1,MarketMaker,25.534,-2336.5
MM_1,MarketMaker,25.58,-2336.0
MM_1,MarketMaker,25.585,-2335.5
MM_1,MarketMaker,25.63,-2335.0
MM_1,MarketMaker,25.636,-2334.5
MM_1,MarketMaker,25.681,-2334.0
MM_1,MarketMaker,25.686,-2333.5
MM_1,MarketMaker,25.72,-2333.0
MM_1,MarketMaker,26.942,-2333.0
MM_1,MarketMaker,26.942,-2334.0
MM_1,MarketMaker,26.949,-2335.0
MM_1,MarketMaker,27.0,-2334.5
MM_1,MarketMaker,27.034,-2334.0
MM_1,MarketMaker,27.05,-2333.5
MM_1,MarketMaker,27.062,-2332.0
MM_1,MarketMaker,27.083,-2331.5
MM_1,MarketMaker,27.101,-2331.0
MM_1,MarketMaker,27.147,-2330.5
MM_1,MarketMaker,27.169,-2086.5
MM_1,MarketMaker,27.603,-2085.5
MM_1,MarketMaker,27.607,-2084.5
MM_1,MarketMaker,27.708,-2083.5
MM_1,MarketMaker,27.759,-2082.5
MM_1,MarketMaker,27.811,-2082.0
MM_1,MarketMaker,28.025,-2083.5
MM_1,MarketMaker,28.028,-2085.0
MM_1,MarketMaker,28.028,-2086.5
MM_1,MarketMaker,28.028,-2088.0
MM_1,MarketMaker,28.028,-2089.5
MM_1,MarketMaker,28.028,-2091.0
MM_1,MarketMaker,28.028,-2093.5
MM_1,MarketMaker,28.028,-2096.0
MM_1,MarketMaker,28.028,-2098.5
MM_1,MarketMaker,28.028,-2101.0
MM_1,MarketMaker,28.028,-2103.5
MM_1,MarketMaker,28.028,-2106.0
MM_1,MarketMaker,28.028,-2108.5
MM_1,MarketMaker,28.028,-2111.0
MM_1,MarketMaker,28.028,-2113.5
MM_1,MarketMaker,28.028,-2116.0
MM_1,MarketMaker,28.028,-2118.5
MM_1,MarketMaker,28.028,-2121.0
MM_1,MarketMaker,28.028,-2123.5
MM_1,MarketMaker,28.028,-2126.0
MM_1,MarketMaker,28.028,-2128.5
MM_1,MarketMaker,28.028,-2131.0
MM_1,MarketMaker,28.028,-2133.5
MM_1,MarketMaker,28.029,-2926.0
MM_1,MarketMaker,28.029,-2133.5
MM_1,MarketMaker,28.029,-2533.5
MM_1,MarketMaker,28.044,-2531.0
MM_1,MarketMaker,28.058,-2528.5
MM_1,MarketMaker,28.06,-2526.0
MM_1,MarketMaker,28.095,-2523.5
MM_1,MarketMaker,28.109,-2521.5
MM_1,MarketMaker,28.111,-2519.5
MM_1,MarketMaker,28.145,-2517.5
MM_1,MarketMaker,28.16,-2515.5
MM_1,MarketMaker,28.162,-2513.5
MM_1,MarketMaker,28.196,-2511.5
MM_1,MarketMaker,28.21,-2509.5
MM_1,MarketMaker,28.212,-2507.5
MM_1,MarketMaker,28.247,-2505.5
MM_1,MarketMaker,28.261,-2503.5
MM_1,MarketMaker,28.262,-2501.5
MM_1,MarketMaker,28.284,-2165.5
MM_1,MarketMaker,28.585,-2168.0
MM_1,MarketMaker,28.597,-2170.5
MM_1,MarketMaker,28.597,-2173.0
MM_1,MarketMaker,28.597,-2175.5
MM_1,MarketMaker,28.597,-2178.0
MM_1,MarketMaker,28.597,-2180.5
MM_1,MarketMaker,28.597,-2183.0
MM_1,MarketMaker,28.597,-2185.5
MM_1,MarketMaker,28.597,-2188.0
MM_1,MarketMaker,28.597,-2190.5
MM_1,MarketMaker,28.597,-2193.0
MM_1,MarketMaker,28.597,-2195.5
MM_1,MarketMaker,28.597,-2198.0
MM_1,MarketMaker,28.597,-2200.5
MM_1,MarketMaker,28.597,-2203.0
MM_1,MarketMaker,28.597,-2205.5
MM_1,MarketMaker,28.597,-2208.0
MM_1,MarketMaker,28.597,-2210.5
MM_1,MarketMaker,28.597,-2213.0
MM_1,MarketMaker,28.597,-2215.5
MM_1,MarketMaker,28.597,-2218.0
MM_1,MarketMaker,28.597,-2220.5
MM_1,MarketMaker,28.597,-2223.0
MM_1,MarketMaker,28.597,-2225.5
MM_1,MarketMaker,28.597,-2228.0
MM_1,MarketMaker,28.597,-2230.5
MM_1,MarketMaker,28.597,-2233.0
MM_1,MarketMaker,28.597,-2235.5
MM_1,MarketMaker,28.597,-2238.0
MM_1,MarketMaker,28.597,-2240.5
MM_1,MarketMaker,28.597,-2243.0
MM_1,MarketMaker,28.597,-2245.5
MM_1,MarketMaker,28.597,-2248.0
MM_1,MarketMaker,28.597,-2250.5
MM_1,MarketMaker,28.597,-2253.0
