agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,16.849,1052.5
MM_0,MarketMaker,16.911,1053.0
MM_0,MarketMaker,16.917,1059.0
MM_0,MarketMaker,16.92,1059.5
MM_0,MarketMaker,16.933,1060.0
MM_0,MarketMaker,16.982,1060.5
MM_0,MarketMaker,16.992,1061.0
MM_0,MarketMaker,17.021,1066.5
MM_0,MarketMaker,17.036,904.5
MM_0,MarketMaker,17.038,1066.5
MM_0,MarketMaker,17.038,979.0
MM_0,MarketMaker,17.038,978.5
MM_0,MarketMaker,17.065,979.0
MM_0,MarketMaker,17.065,979.5
MM_0,MarketMaker,17.139,980.0
MM_0,MarketMaker,17.139,980.5
MM_0,MarketMaker,17.14,981.0
MM_0,MarketMaker,17.212,981.5
MM_0,MarketMaker,17.285,982.0
MM_0,MarketMaker,17.295,982.5
MM_0,MarketMaker,17.348,1044.5
MM_0,MarketMaker,17.568,560.0
MM_0,MarketMaker,17.568,294.5
MM_0,MarketMaker,17.817,304.5
MM_0,MarketMaker,17.931,305.0
MM_0,MarketMaker,17.943,305.5
MM_0,MarketMaker,18.015,306.0
MM_0,MarketMaker,18.026,306.5
MM_0,MarketMaker,18.084,307.0
MM_0,MarketMaker,18.087,307.5
MM_0,MarketMaker,18.087,308.0
MM_0,MarketMaker,18.12,59.5
MM_0,MarketMaker,18.121,308.0
MM_0,MarketMaker,18.121,303.5
MM_0,MarketMaker,18.121,308.0
MM_0,MarketMaker,18.146,309.0
MM_0,MarketMaker,18.158,310.0
MM_0,MarketMaker,18.159,311.0
MM_0,MarketMaker,18.218,312.0
MM_0,MarketMaker,18.232,313.0
MM_0,MarketMaker,18.233,314.0
MM_0,MarketMaker,18.291,315.0
MM_0,MarketMaker,18.305,316.0
MM_0,MarketMaker,18.305,317.0
MM_0,MarketMaker,18.364,318.0
MM_0,MarketMaker,18.377,319.0
MM_0,MarketMaker,18.393,805.0
MM_0,MarketMaker,18.41,808.0
MM_0,MarketMaker,20.136,863.5
MM_0,MarketMaker,20.303,618.0
MM_0,MarketMaker,20.333,618.5
MM_0,MarketMaker,20.345,619.0
MM_0,MarketMaker,20.562,619.5
MM_0,MarketMaker,20.562,620.0
MM_0,MarketMaker,20.636,620.5
MM_0,MarketMaker,20.709,621.0
MM_0,MarketMaker,20.71,621.5
MM_0,MarketMaker,20.782,622.0
MM_0,MarketMaker,20.783,622.5
MM_0,MarketMaker,20.783,623.0
MM_0,MarketMaker,20.857,622.5
MM_0,MarketMaker,20.858,123.0
MM_0,MarketMaker,20.858,-126.0
MM_0,MarketMaker,20.858,123.0
MM_0,MarketMaker,21.085,124.0
MM_0,MarketMaker,21.135,125.0
MM_0,MarketMaker,21.146,126.0
MM_0,MarketMaker,21.438,132.5
MM_0,MarketMaker,21.44,133.0
MM_0,MarketMaker,21.451,133.5
MM_0,MarketMaker,21.513,134.5
MM_0,MarketMaker,21.513,135.5
MM_0,MarketMaker,21.574,136.5
MM_0,MarketMaker,21.586,137.5
MM_0,MarketMaker,21.598,138.5
MM_0,MarketMaker,21.658,139.5
MM_0,MarketMaker,21.731,140.0
MM_0,MarketMaker,21.805,140.5
MM_0,MarketMaker,21.806,141.0
MM_0,MarketMaker,21.813,144.0
MM_0,MarketMaker,21.86,151.5
MM_0,MarketMaker,21.879,152.0
MM_0,MarketMaker,21.886,168.0
MM_0,MarketMaker,22.014,169.0
MM_0,MarketMaker,22.025,170.0
MM_0,MarketMaker,22.075,176.0
MM_0,MarketMaker,22.158,177.0
MM_0,MarketMaker,22.315,178.0
MM_0,MarketMaker,22.816,179.5
MM_0,MarketMaker,22.889,181.0
MM_0,MarketMaker,22.9,182.5
MM_0,MarketMaker,22.901,184.0
MM_0,MarketMaker,22.957,188.5
MM_0,MarketMaker,22.961,190.0
MM_0,MarketMaker,22.972,191.5
MM_0,MarketMaker,22.973,193.0
MM_0,MarketMaker,23.034,194.5
MM_0,MarketMaker,23.131,196.0
MM_0,MarketMaker,23.255,197.0
MM_0,MarketMaker,23.267,198.0
MM_0,MarketMaker,23.277,199.5
MM_0,MarketMaker,23.313,207.0
MM_0,MarketMaker,23.313,208.5
MM_0,MarketMaker,23.313,210.0
MM_0,MarketMaker,23.328,211.5
MM_0,MarketMaker,23.402,212.5
MM_0,MarketMaker,23.402,219.5
MM_0,MarketMaker,23.414,220.5
MM_0,MarketMaker,23.486,221.5
MM_0,MarketMaker,23.507,226.5
MM_0,MarketMaker,24.426,250.5
MM_0,MarketMaker,24.426,256.5
MM_0,MarketMaker,24.426,262.5
MM_0,MarketMaker,24.493,264.0
MM_0,MarketMaker,24.503,265.5
MM_0,MarketMaker,24.566,267.0
MM_0,MarketMaker,24.568,273.0
MM_0,MarketMaker,24.711,274.5
MM_0,MarketMaker,24.721,275.0
MM_0,MarketMaker,24.721,275.5
MM_0,MarketMaker,24.795,276.0
MM_0,MarketMaker,24.868,276.5
MM_0,MarketMaker,24.879,277.0
MM_0,MarketMaker,24.952,277.5
MM_0,MarketMaker,25.014,278.0
MM_0,MarketMaker,25.015,278.5
MM_0,MarketMaker,25.025,279.0
MM_0,MarketMaker,25.043,279.5
MM_0,MarketMaker,25.086,280.0
MM_0,MarketMaker,25.086,280.5
MM_0,MarketMaker,25.151,281.5
MM_0,MarketMaker,25.159,282.0
MM_0,MarketMaker,25.159,282.5
MM_0,MarketMaker,25.232,283.0
MM_0,MarketMaker,25.243,283.5
MM_0,MarketMaker,25.294,284.5
MM_0,MarketMaker,25.306,285.0
MM_0,MarketMaker,25.307,285.5
MM_0,MarketMaker,25.379,286.0
MM_0,MarketMaker,25.38,286.5
MM_0,MarketMaker,25.38,287.0
MM_0,MarketMaker,25.441,287.5
MM_0,MarketMaker,25.452,288.0
MM_0,MarketMaker,25.453,288.5
MM_0,MarketMaker,25.514,533.0
MM_0,MarketMaker,25.514,537.5
MM_0,MarketMaker,25.719,540.5
MM_0,MarketMaker,25.806,210.5
MM_0,MarketMaker,25.807,40.5
MM_0,MarketMaker,25.807,210.5
MM_0,MarketMaker,26.022,211.5
MM_0,MarketMaker,26.034,212.5
MM_0,MarketMaker,26.034,213.5
MM_0,MarketMaker,26.095,214.0
MM_0,MarketMaker,26.107,214.5
MM_0,MarketMaker,26.107,215.0
MM_0,MarketMaker,26.109,222.0
MM_0,MarketMaker,26.167,222.5
MM_0,MarketMaker,26.178,223.0
MM_0,MarketMaker,26.252,223.5
MM_0,MarketMaker,26.324,224.5
MM_0,MarketMaker,26.362,234.5
MM_0,MarketMaker,26.382,237.0
MM_0,MarketMaker,26.384,237.5
MM_0,MarketMaker,26.395,238.0
MM_0,MarketMaker,26.406,238.5
MM_0,MarketMaker,26.456,239.0
MM_0,MarketMaker,26.467,239.5
MM_0,MarketMaker,26.467,240.0
MM_0,MarketMaker,26.529,240.5
MM_0,MarketMaker,26.541,241.0
MM_0,MarketMaker,26.601,241.5
MM_0,MarketMaker,26.617,484.5
MM_0,MarketMaker,26.617,499.5
MM_0,MarketMaker,26.685,500.5
MM_0,MarketMaker,26.685,501.5
MM_0,MarketMaker,26.695,510.5
MM_0,MarketMaker,26.745,511.5
MM_0,MarketMaker,26.817,512.0
MM_0,MarketMaker,26.828,517.0
MM_0,MarketMaker,26.84,518.0
MM_0,MarketMaker,26.89,24.0
MM_0,MarketMaker,26.891,12.0
MM_0,MarketMaker,27.445,-718.5
MM_0,MarketMaker,27.446,-720.0
MM_0,MarketMaker,27.548,-719.5
MM_0,MarketMaker,27.56,-719.0
MM_0,MarketMaker,27.622,-718.5
MM_0,MarketMaker,27.633,-718.0
MM_0,MarketMaker,27.633,-717.5
MM_0,MarketMaker,27.695,-717.0
MM_0,MarketMaker,27.707,-716.5
MM_0,MarketMaker,27.707,-716.0
MM_0,MarketMaker,27.708,-713.0
MM_0,MarketMaker,27.841,-712.0
MM_0,MarketMaker,27.908,-697.0
MM_0,MarketMaker,27.908,-692.5
MM_0,MarketMaker,27.911,-691.5
MM_0,MarketMaker,27.936,-691.0
MM_0,MarketMaker,28.008,-690.5
MM_0,MarketMaker,28.069,-689.5
MM_0,MarketMaker,28.152,-688.5
MM_0,MarketMaker,28.202,-687.5
MM_0,MarketMaker,28.212,-686.5
MM_0,MarketMaker,28.213,-685.5
MM_0,MarketMaker,28.237,-353.5
MM_0,MarketMaker,28.273,-352.5
MM_0,MarketMaker,28.284,-351.5
MM_0,MarketMaker,28.345,-351.0
MM_0,MarketMaker,28.357,-350.5
MM_0,MarketMaker,28.369,-349.5
MM_0,MarketMaker,28.432,-349.0
MM_0,MarketMaker,28.432,-348.5
MM_0,MarketMaker,28.502,-347.5
MM_0,MarketMaker,28.503,-346.5
MM_0,MarketMaker,28.531,-675.5
MM_0,MarketMaker,28.565,-675.0
MM_0,MarketMaker,28.576,-674.5
MM_0,MarketMaker,28.576,-674.0
MM_0,MarketMaker,28.637,-673.5
MM_0,MarketMaker,28.648,-673.0
MM_0,MarketMaker,28.721,-672.5
MM_0,MarketMaker,28.732,-672.0
MM_0,MarketMaker,28.865,-671.5
MM_0,MarketMaker,28.875,-671.0
MM_0,MarketMaker,28.926,-670.5
MM_0,MarketMaker,28.937,-670.0
MM_0,MarketMaker,28.948,-669.5
MM_0,MarketMaker,29.01,-669.0
MM_0,MarketMaker,29.01,-668.5
MM_0,MarketMaker,29.082,-668.0
MM_0,MarketMaker,29.153,-667.5
MM_0,MarketMaker,29.239,-667.0
MM_0,MarketMaker,29.3,-666.5
MM_0,MarketMaker,29.31,-666.0
MM_0,MarketMaker,29.326,-660.5
MM_0,MarketMaker,29.326,-659.0
MM_0,MarketMaker,29.328,-654.5
MM_0,MarketMaker,29.328,-653.5
MM_0,MarketMaker,29.373,-653.0
MM_0,MarketMaker,29.374,-652.5
MM_0,MarketMaker,29.374,-652.0
MM_0,MarketMaker,29.435,-651.5
